Описание,Чем завершилось
Выяснить потребность в технике,На осень требуется два трактора 170 лс
Обсудить потребность в тракторе,"С клиентом обсудил срок принятия решения по приобретению трактора и финансовые условия. Клиенту трактор нужен на весенние полевые работы, а так как в следующем году цена может изменится то приобретение клиент запланировал на сентябрь месяц. "
Приобретение трактора 150 л.с. Обсуждение деталей,Встреча с генеральным. Принято решение отложить приобретение данной машины на вторую половину года
Почвообработка. Переговоры с генеральным и главным инженером,"Интересна пропашная сеялка, Конкурент КУН, предлагаю Гаспардо, также у клиента есть предложение на пропашную сеялку КУН"
Планирование демопоказа Трактор и посевной комплекс,Демо-поаз проведен. Клиент взял паузу. Планируем встречу через две недели
Потребность в посевном оборудовании. Обсуждение.,"Клиент размышляет, не может определится на сеялке, то утверждал что будет покупать Хорш Маэстро, но клиенту не нравится как сделана конструкция сеялки, готов встретится пообщаться"
Встреча по трактору,Клиент остановил все движения в плане приобретения трактора из-за курса валюты
Выявление потребности в технике,Выявлена потребность. С клиентом обсудили и условия по оплате и поставке товара. Готовим договор
Акция по продвижению оборудования. Обсуждение с клиентом,Сегодня встречался с клиентом у нас в офисе. Клиенту презентовал акцию по фиксации стоимости комбайна в рублях. она его заинтересовала но детально обсуждение попросил перенести на середину следующей недели
Обсуждение предложения по сеялкам,"В процессе общения выявил потребность в пропашной 8 рядковой сеялки. Клиент рассматривает сеялку от производителя KUN ценой 39000 евро. Клиенту презентовал сеялку Gaspardo MTR 8R70 данную сеялку клиент не готов рассматривать так как по сравнению с сеялкой KUN в нашей сеялке 4 бункера под удобрения, а у конкурента один и это удобно для клиента для засыпания удобрений но так как наша сеялка стоит дешевле клиент взял время на раздумья"
Обсуждение условий сделки,"Позвонил, сказал делать договор, предоплата 100%."
